Facility,State,County / Name of Facility,"Confirmed Cases 
(Staff)",Confirmed Cases (Residents),"Confirmed Deaths
(Staff)","Confirmed Deaths
(Residents)",Staff Recovered,Residents Recovered,"Date 
(last updated)",Source(s),Additional Notes,Coder
,,,8520,24594,35,329,1912,6684,,,,
Prison,Alabama,Alex City,1,0,0,0,0,0,5/8/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),GD
Prison,Alabama,ATEF,0,0,0,0,0,0,5/8/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),GD
Prison,Alabama,Bibb,0,1,0,0,0,0,5/8/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),GD
Prison,Alabama,Birmingham,0,0,0,0,0,0,5/8/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),GD
Prison,Alabama,Bullock,1,1,0,0,0,1,5/8/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),GD
Prison,Alabama,Camden,0,0,0,0,0,0,5/8/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),GD
Prison,Alabama,Childersburg,0,0,0,0,0,0,5/8/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),GD
Prison,Alabama,Donaldson,0,0,0,0,0,0,5/8/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),GD
Prison,Alabama,Easterling,0,1,0,0,0,0,5/8/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),GD
Prison,Alabama,Elba,1,1,0,0,1,1,5/8/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),GD
Prison,Alabama,Elmore,2,0,0,0,1,0,5/8/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),GD
Prison,Alabama,Fountain,0,0,0,0,0,0,5/8/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),GD
Prison,Alabama,Frank Lee,0,0,0,0,0,0,5/8/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),GD
Prison,Alabama,Hamilton A&I,0,1,0,0,0,0,5/8/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),GD
Prison,Alabama,Hamilton CBF,0,0,0,0,0,0,5/8/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),GD
