System,State,County,Requesting Party,Efforts to Remove Vulnerable Persons,Efforts to Remove Persons with/Suspend Arrests for Nonviolent Offenses,Efforts to Remove Rehabilitated People w/ Little Threat to Public Safety,Efforts for Early/Accelerated Release,Date,Source(s),Additional Notes
System-Wide,Alabama,Statewide,Alabamians for Fair Justice,X,X,X,X,4/6/2020,https://www.al.com/news/2020/04/advocates-call-for-alabama-to-release-prisoners-amid-covid-19-crisis.html,https://alabamafairjustice.org/press-releases/afj-calls-for-release-of-alabama-prisoners
Prison,Arizona,,Prison Law Office,X,X,X,,3/14/2020,https://prisonlaw.com/wp-content/uploads/2020/03/20.03.14-Prison-Law-Office-to-ADC-re-covid19.pdf,See also 3/16 Motion
Juvenile Detention,Arkansas,Statewide,Youth Correctional Leaders for Justice,,,x,,4/7/2020,https://www.arkansasonline.com/news/2020/apr/06/juvenile-lockup-releases-sought-2020040/,
Prison ,California,Imperial (Calipatria State Prison),ACLU San Diego and Imperial Counties,,,,,3/11/2020,https://www.aclusandiego.org/wp-content/uploads/2020/03/2020-03-11-COVID-19-Jails-Prisons-1.pdf,"Not really a request to reduce population, rather a request to put a plan into place to address the virus"
Jail,California,San Francisco,"Chesa Boudin, District Attorney",,X,X,X,3/11/2020,https://theappeal.org/coronavirus-san-francisco-reduce-jail-population/,"Directed prosecutors not to oppose motions for release of pretrial detainees facing misdemeanor charges or drug-related felony charges, if the person is not a public safety threat; also directed prosecutors to ""strongly consider"" credit for time served in plea deals"
Prison,California,San Francisco,"SF Public Defender, Manohar Raju",X,,,,3/11/2020,https://www.sacbee.com/news/california/article241090881.html,SF public defender Manohar Raju issued statement regarding motions to seek release of clients with heightened risk for illness
Juvenile Detention,California,Alameda,"CURYJ, East Bay Community Law Center, Ella Baker Center, Just Cities, Justice Reinvestment Coalition, Urban Peace Movement, W. Haywood Burns Institute",,X,X,,3/13/2020,See attached,
Jail,California,Los Angeles,"The Justice Collaborative, JusticeLA, Dignity and Power Now, Reform LA County Jails, ACLU of Sourthern California, La Defensa",X,X,X,X,3/13/2020,See attached,
Prison,California,,"The Justice Collaborative, Smart Justice California, ACLU California, Color of Change, Californians for Safety and Justice, Immigrant Legal Resource Center, Ella Baker Center for Human Rights, Asian Americans Advancing Justice, Law Caucus, California Public Defender's Association, Los Angeles County Public Defenders, AFSCME Local 148, UnCommon Law, San Francisco Rising, Policy Link, Pillars of the Community, Initiate Justice, Californians United for a Responsible Budget, La Defensa, The Bail Project, Asian Solidarity Collective, Alliance for Boys and Men of Color, California Prison Moratorium Project",X,X,X,X,3/13/2020,See attached,See also follow-up letter to Governor's staff with more specific recommendations (3/18)
Juvenile Detention,California,San Francisco,"SF Public Defender, Manohar Raju",X,X,,X,3/13/2020,See attached,
Juvenile Detention,California,Los Angeles,Youth Justice Coalition,X,X,X,X,3/16/2020,https://docs.google.com/forms/d/e/1FAIpQLSer9joZe9IM2sSLGaSYmwl7iPLVyXCJTth5yT9UzPLnsxCyTQ/viewform,"
"
Jail,California,,Community members,X,X,X,X,3/17/20,https://docs.google.com/document/d/e/2PACX-1vROH_4s3zJBvbR_wXeBqQ_nBPHv35wEn-j1FRasEERC5v7ROvVGrIQqTpOsioFQQ3u0J9ICbe8juiu_/pub,Continue to sign on here: https://docs.google.com/forms/d/e/1FAIpQLSezvbw0sV0ptEm59QSErVHYyZ3-TPZUKTtURLPdsUobwm4htw/viewform
Jail,California,,Disability Rights California & Prison Law Office (Class Counsel),X,X,,X,3/18/20,https://www.disabilityrightsca.org/system/files/file-attachments/2020-03-18_DRC-PLO_Ltr_re_COVID-19_Mays-Sacramento_Cty_Jail.pdf,
Jail,California,,Disability Rights California & Prison Law Office & King & Spalding (Class Counsel),X,X,,X,3/18/20,https://www.disabilityrightsca.org/system/files/file-attachments/2020-03-18_DRC-PLO-KS_Ltr_re_COVID-19%20Murray-Santa_Barbara_Cty_Jail.pdf,
Jail,California,,Public defender,,X,,X,3/19/2020,https://twitter.com/BrendonWoodsPD/status/1240811882245586945/photo/1,Most released had 45 days or fewer left in sentence
Immigration Detention,California,San Francisco,"ACLU Northern California, Manu Raju & Office of the SF Public Defender, Lawyers' Committe for Civil Rights of San Francisco Bay Area, ACLU Southern California, Lakin & Wille LLP",,,,X,3/24/2020,https://www.aclunc.org/sites/default/files/Demands_ICE_Release_Immigrants_2020.03.24.pdf,"Petition for writ of habeas corpus for Plaintiffs, alleging conditions at Mesa Verde and Yuba violate Due Process Clause by placing detainees at an unreasonable risk of contracting serious illness and death"
Prison,California,State-wide,Prison Law Office; Rosen Bien Galvan & Grunfeld LLP,X,,,X,3/25/2020,See motion attached,Motion seeking Court to modify 2009 population cap and require Gov. Newsom and state of California to reduce population in crowded congregate living spaces to permit social distancing and protect medically vulnerable by releasing/relocating class members who are at high risk of severe illness form COVID-19
Prison,California,State-wide,Collection of prison lawyers,X,X,,X,3/25/2020,https://www.latimes.com/california/story/2020-03-25/prison-lawyers-emergency-order-releases-coronavirus?utm_source=The+Marshall+Project+Newsletter&utm_campaign=b19a40044e-EMAIL_CAMPAIGN_2020_03_26_11_36&utm_medium=email&utm_term=0_5e02cdad9d-b19a40044e-170554949,Lawyers for California prison inmates filed motion for targeted releases of low-risk inmates who have less than a year left to serve as well as release or relocation of 65+ and those with medical conditions that put them at severe risk from COVID-19
Immigration Detention,California,Adelanto Detention Center,Coalition of Groups,X,,,,3/27/2020,http://www.publiccounsel.org/tools/assets/files/1329.pdf,Federal judge grants emergency TRO for two immigrants at the Adelanto Detention Center
System-Wide,California,State-wide,39 Public Health Experts (joint letter),X,X,X,X,3/27/2020,https://medium.com/@lee.riley/ca-public-health-experts-urge-gov-newsom-to-release-elderly-and-medically-vulnerable-from-prisons-f41ed7cdbc7f,"Public health experts joined a letter urging Gov. Newsom to release people to address the grave risk of COVID-19 in jails and prisons, focusing on elderly and medically vulnerable"
Juvenile Detention,California,State-wide,"Board of State and Community Corrections (Linda Pain, Chair)",,,,,3/30/2020,See attached,Guidance to juvenile facilities encouraging Probation Chiefs and juvenile facility managers to collaborate with local public health officials and contracted healthcare providers to update healthcare policies and procedures specifically to address COVID-19
Women's Facility,California,Madera; Riverside,California Coalition for Women Prisoners; Young Women's Freedom Center; and Sister Warriors Freedom Coalition.,X,,,,4/6/2020,https://www.dropbox.com/s/d12p3we34ps9ym1/COVID-19_CCWF-CIW-Response.pdf?dl=0,Request to release all elderly (50+) and medically high-risk inmates from Central California Women's Facility (CCWF) and the California Institute for Women (CIW).
Jail,California,Alameda,Oakland City Council,X,,,X,4/21/2020,https://drive.google.com/file/d/1RKOyYnZtl8KPCSBsbMpflHOcgDNC-Dsg/view?usp=sharing,Accompanying report on cited resolution: https://drive.google.com/file/d/16U7QYqTc6Ve6HCf_re5d66mLY9CY3fpC/view?usp=sharing
