System,State,County,"Front-End Actions by Prosecutor Offices (not requesting bail, etc.)","Front-End Actions by Sheriff Departments (suspended arrests, cite & release, etc.)",Judicial Response?,Governor's Response?,Efforts to Remove Vulnerable Persons,Efforts to Remove Detainees with Minor Offenses,Efforts to Remove Rehabilitated People w/ Little Threat to Public Safety,Efforts for Early/Accelerated Release,Date,Response Pursuant to Request?,Source(s),Additional Notes
Jail,Alabama,"Autauga, Elmore, Chilton",,,,,,X,X,,3/18/2020,,https://www.montgomeryadvertiser.com/story/news/crime/2020/03/18/county-jail-inmates-ordered-released-autauga-elmore-chilton-counties/2871087001/,
Prison,California,San Francisco,,,,,X,X,,,3/11/2020,Yes,See attached,SF district attorney Chesa Boudin directing prosecutors not to oppose motions to release detainees facing misdemeanor charges or drug-related felony charges
Jail,California,Los Angeles,,,,,,X,,X,3/16/2020,No,https://www.cbsnews.com/news/inmates-released-los-angeles-county-coronavirus-response-2020-03-24/?utm_source=The+Marshall+Project+Newsletter&utm_campaign=cc1354b3f1-EMAIL_CAMPAIGN_2020_03_25_11_31&utm_medium=email&utm_term=0_5e02cdad9d-cc1354b3f1-170554949,1700 people released- those with fewer than 30 days left in their sentence; police officers issuing citations; reduced inmate population by 10%
Jail,California,Santa Clara,,X,X,,,,,,3/17/2020,Yes,,"Court order in response to Santa Clara Valley Health System, Adult Custody Health Divison Medical Director Dr. Alexander Chyorny -- effective immediately (3/17), surrender dates are continued by 60 days and all individual participating in Sheriff's Work Program receiving credit until May 15"
Jail,California,Alameda,,X,,,,X,,X,3/19/2020,Yes,https://www.nbcbayarea.com/news/coronavirus/sheriff-releases-314-inmates-to-reduce-coronavirus-risk-at-alameda-county-jail/2258026/,"Sheriff Ahern released 314 people at request of judge, public defender, and district attorney: early release after sentences modified or ROR, all relatively low-offenses; Sheriff Ahern has also directed police to only bring people accused of serious offenses/felonies for jail booking and to cite those accused of low-level offenses"
System-Wide,California,,,,X,,X,,,X,3/20/2020,Yes,https://newsroom.courts.ca.gov/news/california-chief-justice-issues-second-advisory-on-emergency-relief-measures,"Chief Justice Cantil-Sakauye issued advisory on emergency relief measures: lowering bail amounts, consider health vulnerability, permit early release for less than 60 days, among others"
System-Wide,California,,,,X,,,,,,3/23/2020,No,https://www.latimes.com/california/story/2020-03-23/coronavirus-california-delays-trials-la-county-shuts-courts-to-public?utm_source=The+Marshall+Project+Newsletter&utm_campaign=cc1354b3f1-EMAIL_CAMPAIGN_2020_03_25_11_31&utm_medium=email&utm_term=0_5e02cdad9d-cc1354b3f1-170554949,Chief Justice Cantil-Sakauye ordered criminal and civil trials discontinued in California for at least two months
Jail,California,Statewide,,X,,X,,,,,3/24/2020,No,https://www.gov.ca.gov/2020/03/24/governor-newsom-issues-executive-order-on-state-prisons-and-juvenile-facilities-in-response-to-the-covid-19-outbreak/,Governor Newsom issued an executive order directing CDCR to temporarily halt intake or transfer of inmates into state's 35 prisons for the next 30 days (instead will remain in county custody)
Juvenile Detention,California,Statewide,,X,,X,,,,,3/24/2020,No,https://www.gov.ca.gov/2020/03/24/governor-newsom-issues-executive-order-on-state-prisons-and-juvenile-facilities-in-response-to-the-covid-19-outbreak/,Governor Newsom issued an executive order directing CDCR to temporarily halt intake or transfer of youth into four youth correctional facilities for 30 days (instead will remain in county custody)
Jail,California,Sonoma,X,X,,,,X,X,X,3/26/2020,,https://www.pressdemocrat.com/news/10851917-181/sonoma-county-jail-inmates-released,"""200 nonviolent offenders approaching the end of their sentences and other inmates awaiting trial for low- level crimes are being released"""
Jail,California,Los Angeles,X,X,X,X,X,X,,X,3/28/2020,Yes,http://www.lacourt.org/newsmedia/uploads/142020324174155NR_Justice_Partners_Request_March_24_2020_FINAL.pdf,Judge Brazile announced an expedited court process to release an agreed-upon list of pretrail inmates being held in jail before trial
