Facility,Agency / Authority,System Type,State,County,Management,Confirmed Cases (Detainees),Confirmed Cases (Staff),Confirmed Deaths (Detainees),"Confirmed Deaths
(Staff)",Facility Responses to COVID-19 / Mitigation Measures (quarantine; isolation; etc.),Visitation Policy,Last Updated Date,Sources,Additional Notes
Ada County Jail,DHS/ICE,Non ICE-dedicated,Idaho,Ada County,Ada County Sheriff's Office,None reported yet,None reported yet,,,,,5/1/2020,,
Adams County Correctional Center,DHS/ICE,Non ICE-dedicated,Mississippi,Adams County,,15,,,,,,5/4/2020,https://www.ice.gov/coronavirus,
Adams County Jail,DHS/ICE,Non ICE-dedicated,Colorado,Adams County,,None reported yet,None reported yet,,,,,5/1/2020,,
Adelanto ICE Processing Center,DHS/ICE,ICE-dedicated,California,San Bernardino County,GeoGroup,None reported yet,None reported yet,,,,,5/1/2020,,
Alexandria Staging Facility ,DHS/ICE,ICE-dedicated,Louisiana,Rapides Parish,GeoGroup,,14,,,,,5/1/2020,https://www.ice.gov/coronavirus,
Aurora Contract Detention Facility,DHS/ICE,ICE-dedicated,Colorado,Arapahoe County,GeoGroup,,5,,,,,5/6/2020,"https://www.ice.gov/coronavirus
https://www.coloradoindependent.com/2020/05/05/colorado-coronavirus-first-cases/",ICE released eight medically vulnerable detainees on April 15.
Bergen County Jail,DHS/ICE,Non ICE-dedicated,New Jersey,Bergen County,,2,1,,,,,5/4/2020,https://www.ice.gov/coronavirus,
Bluebonnet Detention Facility,DHS/ICE,Non ICE-dedicated,Texas,Hockley County,MTC,41,,,,,,5/5/2020,https://www.ice.gov/coronavirus,
Bristol County House of Corrections,DHS/ICE,Non ICE-dedicated,Massachusetts,Bristol County,,1,,,,,,5/6/2020,https://www.ice.gov/coronavirus,
Broward Transitional Center,DHS/ICE,ICE-dedicated,Florida,Broward County,GeoGroup,1,,,,,,5/6/2020,https://www.ice.gov/coronavirus,
Buffalo Federal Detention Facility,DHS/ICE,ICE-dedicated,New York,Genesee County,,49,,,,,,5/1/2020,https://www.ice.gov/coronavirus,
