State,County,Organization,Organizing Effort,Target Facility (if applicable),"Internal Organizing Effort (staff, inmates)","External Organizing Effort (non-profit, community)",Effort for Improved Sanitary Conditions,Effort for Immediate or Accelerated Releases,Effort for New/Improved Testing Procedures,Demands Met? (as a direct result of effort),Response (if yes or partially),Date (last updated),Source,Additional Information,
Arizona,Statewide,The Prison Law Office and the ACLU National Prison Project,Emergency motion in federal court in Phoenix,All 10 of Arizona's Prisons,X,X,X,X,X,Partially,ADC will lift a four-dollar charge for requesting health care and will temporarily lift the charge for soap,3/16/2020,https://www.aclu.org/news/prisoners-rights/we-know-prisons-need-covid-19-plans-our-arizona-prison-tour-suggests-its-not-happening/,"The motion asks the judge to order the Arizona Department of Corrections (ADC) to consult with a correctional health care expert to develop a plan to prevent, manage, and treat any COVID-19 outbreaks in the state’s 10 prisons.",The motion: https://prisonlaw.com/wp-content/uploads/2020/03/20.03.16-Doc-3520-Plfs-Emergency-Motion-Re-Covid-19.pdf
California,Alameda County,Human Impact Partners,Petition,Santa Rita Jail,,X,X,X,,Partially,600 inmates released between 3/16/2020 and 4/9/2020,3/17/2020,https://docs.google.com/forms/d/e/1FAIpQLScpesw4P8Bqx31w08oecW3ltkvi0CUMljurzad910rvp0Ff1A/viewform,"A coalition of civil rights organizations and attorneys signed on to a petition making demands for Santa Rita Jail in Age of Coronavirus Pandemic to lower arrest rates, decarcerate, take steps to make jail safer, and invest in health-affirming resources, such as robust health care, affordable housing, living wages, quality schools, environmental justice, and adequate transportation.",https://abc7news.com/coronavirus-bay-area-lockdown-shelter-in-place-update-california-covid-cases/6090999/
California,Alameda County,Young Women Freedom Center,Car Rally ,Santa Rita Jail,,X,,X,,No,,4/16/2020,https://twitter.com/youngwomenfree/status/1250642844328460288?s=21,Car Rally to tell DA O'Malley and Sheriff Ahern to shut down Santa Rita Jail and release everybody incarcerated there.,
California,LA County,"""Health Care Professionals"" (petition created by Mark-Anthony Clayton-Johnson of Dignity and Power Now)",Petition,LA County Jails,,X,,X,,Partially,"1,700 inmates released as of 3/23/2020",3/26/2020,https://campaigns.organizefor.org/petitions/covid-19-los-angeles-must-immediately-release-people-from-the-county-jails,"Petition calling on The Los Angeles Department of Health Services, Correctional Health Services, and the Local Health Officer to immediately release people in LA County jails",https://www.latimes.com/california/story/2020-03-26/coronavirus-inmates-release-la-county-jails
California,LA County,Justice LA,Petition,LA County Jails and Courthouses,,X,X,X,X,Partially,"1,700 inmates released as of 3/23/2020",3/26/2020,https://actionnetwork.org/forms/demand-los-angeles-county-officials-take-immediate-and-decisive-steps-now-to-save-lives-in-la-county-jails/,Petition to demand Los Angeles County officials take immediate and decisive steps now to save lives in LA County Jails ,http://justicelanow.org/wp-content/uploads/2017/08/LA-Jails-COVID-19-Advocacy-Group-Letter-03.15.20.pdf
California,Madera & San Bernadino,California Coalition for Women Prisoners; Young Women's Freedom Center; Sister Warriors Freedom Coalition,"""Phone Zap"" Call to Action",Central California Women's Facility & California Institute for Women,X,X,X,X,X,Partially,"California will release 3,500 inmates serving sentences for nonviolent offenses by June",4/6/2020,http://womenprisoners.org/2020/04/demand-action-for-covid-19-safety-&-care-at-ccwf-and-ciw/,"Participants called the Federal Medical Receiver and CDCR on behalf of people incarcerated at CCWF & CIW women’s prisons. Demanded better sanitation in prisons and the release of all elderly and medically high-risk people. Additional demands: immediate end to staff movement between prisons; that the CDCR must ensure that incarcerated people & the public have rapid access to information as pandemic conditions continue to change, and must ensure continued access to medication & all healthcare services, telephone, JPay, and mail. During a lockdown, extend WiFi access and provide personal tablets & cellphones to all people.",
California,Monterey County,Inmates at Monterey County Jail,Hunger Strike,Monterey County Jail,X,,X,X,,Partially,"Correctional deputies released 17 inmates, the sheriff's office delivered cleaning supplies throughout the jail, and staff started handing out two bars of soap a week to each inmate and set up more than 18 hand sanitizing stations as well as two hand cleaning stations.",3/27/2020,https://www.thecalifornian.com/story/news/2020/03/27/sheriffs-office-hunger-strike-ends-monterey-county-jail/2929726001/,"For three days, 63 inmates of F-wing were on strike over insufficient cleaning supplies, also demanding that some low-level offenders to be released, said Cmdr. John Thornburg with the Monterey County Sheriff's Office. Correctional deputies released 17 inmates meeting the criteria, and the sheriff's office also delivered cleaning supplies throughout the jail, including F-Wing. ",
California,Riverside County,"Riverside ""All of Us or None"" and Starting Over, Inc",Car Rally,Riverside County Jails,,X,,X,,No,"Sheriff Chad Bianco says he does not plan to allow early releases and that Riverside county inmates ""receive excellent treatment and have greater access to medical care and more readily than most of you who are not in jail.""",4/21/2020,https://www.facebook.com/events/522879695043688/,"Car rally to demand the immediate release of our people incarcerated in Riverside County jails taking place in downtown Riverside during the Board of Supervisors meeting on April 21st. Attendees social distanced by staying in their cars and protesting the County’s lack of action by honking horns, making noise from their cars, waving signs, and driving the route encircling our elected officials. The rally’s route passed by the Board of Supervisors meeting, Riverside County Sheriff’s Department, and Robert Presley Detention Center, so both county officials and people behind bars will hear their demands that Sheriff Bianco #ReleaseRiverside.","https://twitter.com/nolasco909/status/1250496696355745792?s=21; https://patch.com/california/murrieta/rivco-sheriff-early-inmate-release-amid-coronavirus-reckless; ""If you don't want to contract this virus while you are in custody, don't break the law,"" Bianco said at a April 2 press conference. (source: https://www.desertsun.com/story/news/crime_courts/2020/04/16/judge-says-riverside-county-sheriffs-department-fails-amid-coronavirus-pandemic/5141460002/)"
California,Statewide,Initiate Justice,Photo Campaign,CA Prisons,,X,,X,,No,,4/4/2020,Instagram: @initiatejustice,Asking members of the public to join their #letthemgo photo campaign by taking a photo addressed to Gavin Newsom and posting on social media with the tag #letthemgo calling on him to release all vulnerable populations from inside California prisons,
California,Statewide,"Dignity and Power Now, CURB: Californians United for a Responsible Budget, and Justice LA",Demand for a #DecarcerationBudget,,,X,,,,Unmentioned,,4/15/2020,https://campaigns.organizefor.org/petitions/california-s-covid-19-budget-must-support-decarceration,"In response to the formation of the California Senate's new Budget Subcommittee on COVID-19, organizations are calling on Californians to submit public comments demanding a decarceration budget (calling on the State to do its part and help fund jail and prison decarceration efforts) in anticipation of the subcommittee's first hearing this Thursday April 16th at 2pm.",https://twitter.com/curbprisons/status/1250498351948152833?s=21
