State,Facility,Authorizing Agent,"Known Capacity 
(if available)",Population Prior to Releases,"Overall Pop. Reduction / 
Total Number of Releases",Does the source report this reduction as a result of releases only or a mix of releases/policy changes?,Does the source give a more detailed breakdown on the releases?,"Breakdown of Releases:
Parole Tech Violation ","Breakdown of Releases:
Lower Level/ Non-Violent Crimes","Breakdown of Releases: 
Short Time Left on Sentence","Breakdown of Releases:
Vulnerable Populations","Breakdown of Releases: 
Other (please explain)",Date,Legal Filing?,Source(s),"Additional Notes (explaining ""other"" column, defining vulnerable populations in this instance, etc.)",,,
,,,,623877,24356,,,,,,,,,,,,,,
Alabama,Statewide,Governor,,,Unknown,Releases only,Yes - See columns I-M,x,,,,x ,4/2/20,No,https://www.wsfa.com/2020/04/02/ivey-order-allows-release-some-local-inmates/,"County jail releases only (no prisons); focus on probation and parole violators, technical violations",,,
Arkansas,Statewide,Parole Board/Gov,,,300,Releases only,No,,,,,x ,5/12/20,,https://www.nwahomepage.com/lifestyle/health/coronavirus/approx-800-inmates-approved-for-early-release-covid-19-precaution/,"First 300 released. 1234 approved by Parole Board for early release, approved by ADOC, acceptable parole plan. and Covid 19 negative.",,,
California,Statewide,CDCR,,114000,3418,Releases only,Yes - See columns I-M,,x,x,,,4/13/20,Yes,https://www.courtlistener.com/recap/gov.uscourts.cand.76/gov.uscourts.cand.76.3275.0.pdf,"This is a declaration opposing further relief sought in the Plata case.  At page 3, lines 1-9, the declarant gives the number and breakdown of persons released.  This was release was annoucned after the Plata plaintiffs filed a motion for a prisooner reliease order before the three-judge court.  ",,,
Colorado,Statwide,Governor,,20000,3500,Mix,Yes - See columns I-M,,,x,x,,4/23/20,No,https://www.cpr.org/2020/04/23/colorado-corrections-agrees-to-release-some-inmates-early-to-reduce-prison-populations/?eType=EmailBlastContent&eId=07a90610-fdf3-4e1b-994a-712a02c5065c,"150 people released due to early release for medical need, eligible for parole in 2 months, or scheduled release by August 2021 and good behavior.(52 accounted for below)  Other reductions account for rest.",,,
Colorado,Statewide,Governor,,,52,Releases only,No,,,,,,4/15/20,No,https://www.denverpost.com/2020/04/13/colorado-prison-jail-coronavirus-early-release/,52 early release pursuant to a governor order,,,
Federal BOP,Nationwide,AG,,"174,000",1440,Releases only,Yes - See columns I-M,,x,,x,,4/22/20,No,https://www.politico.com/amp/news/2020/04/22/coronavirus-prisoners-released-ohio-louisiana-202953?utm_source=The+Marshall+Project+Newsletter&utm_campaign=8d638060bd-EMAIL_CAMPAIGN_2020_04_23_11_44&utm_medium=email&utm_term=0_5e02cdad9d-8d638060bd-166145513, Number as of 4.22.20; (As of 4/6/20:  886 had been moved to home release (https://www.youtube.com/watch?v=b1ZhoHbK3ow&feature=youtu.be)),,,
Federal BOP,Nationwide,AG,,,960,Releases only,Yes - See columns I-M,,,,x,,5/13/20,Yes,https://www.washingtonpost.com/investigations/come-on-were-human-beings-judges-question-response-to-coronavirus-pandemic-in-federal-prisons/2020/05/12/925e5d32-912a-11ea-a9c0-73b93422d691_story.html?utm_campaign=87f280aae2-EMAIL_CAMPAIGN_2020_05_14_11_40&utm_medium=email&utm_source=The%20Marshall%20Project%20Newsletter,Article mentions total of 2400 federal furloughs to date. (I substracted those reported on by 4/22). Some law suits are involved in pushing these releases.,,,
Florida,statewide,,,,3,Releases only,Yes - See columns I-M,,,,x,,5/8/20,,https://www.miamiherald.com/news/special-reports/florida-prisons/article242573521.html#storylink=cpy,Florida has hardly released anyone — just three people on “conditional medical release.”,afc,,
Hawaii,statewide,courts,,"2,189",823,Releases only,No,,,,,,5/9/20,Yes,https://www.staradvertiser.com/2020/05/09/hawaii-news/hawaii-inmates-released-during-covid-19-pandemic-are-back-behind-bars-for-new-crimes/,This article reports a reduction of 832. Another article reports 823. (typo?),afc,,
Illinois,Decatur,,, ,6,Releases only,Yes - See columns I-M,,,,,x,3/29/20,,https://www.chicagotribune.com/coronavirus/ct-coronavirus-woman-babies-released-prison-20200327-t6rfew4m6jbuxmw4lrw5v47dfi-story.html,Mothers and newborns,,,
