,,"This spreadsheet last updated by the Prison Policy Initiative on April 21, 2020.",,,,,,,,,,,,,,,,,,,
,,For more information on what the criminal justice system Is doing -- or should be doing -- see https://www.prisonpolicy.org/virus/virusresponse.html,,,,,,,,,,,,,,,,,,,
,,"If you are a Department of Corrections official and know of a public statement that we missed, please contact Tiana Herring at therring@prisonpolicy.org.",,,,Issues addressed by state DOC COVID-19 response pages and/or press releases and updates,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
State,Does the DOC have one dedicated webpage for COVID-19 updates?,Key links (COVID-19 pages and press releases),"If no dedicated COVID-19 page, link to press release page or where info is stored",COVID-19 tracker for in-custody populations,Notes on webpage and access,All visitation suspended,Only legal visitation permitted,Changes in telephone call policies and costs,Changes in video call policies and costs,Additional changes in communication cost ,Increased access to hygiene products,Screening employees for COVID-19,Screening new admissions to prison for COVID-19,Suspended Transfers,Mandatory isolation for new admissions to prisons,Suspension of medical copays,Expedited parole,Reducing number of staff working in-person,System-wide quarantine of all people incarcerated in state prisons,Lockdown in facilities with positive COVID-19 cases,Plan to isolate individuals who are high risk for complications from COVID-19 and/or plan to isolate individuals with suspected COVID-19
Alabama,Y,http://www.doc.state.al.us/covid19news ,,http://www.doc.state.al.us/COVID19Testing,,x ,,x (1 free 15 min call/wk),,,x,x,x,,x,x,,x,,,The ADOC has established quarantine/isolation areas for incarcerated people who exhibit symptoms of and are being tested for COVID-19 at each of its facilities.
Alaska,Y,https://doc.alaska.gov/covid-19,,https://doc.alaska.gov/covid-19,,x ,,x (2 free 15 min calls/wk),,,x,x,x,,,x,,,,,
Arizona,Y,https://corrections.az.gov/covid-19-management-updates,,https://corrections.az.gov/adcrr-covid-19-dashboard,,x,,x (2 free 15 min calls/wk),,,x,x,,x,,x,,,,,ADCRR continues to separate any inmates who exhibit flu-like symptoms from the general population
Arkansas,Y,https://adc.arkansas.gov/facilities/facilities5.html,,https://adc.arkansas.gov/facilities/facilities5.html,,x,,"x (15 cents/min, no connect fee)","x  ($2.50 for 30 min in prison, 10 cents/min in comm corrections centers)",,,x,,,,,,,,,
California,Y,https://www.cdcr.ca.gov/covid19/,,https://www.cdcr.ca.gov/covid19/population-status-tracking/,,,x,x (3 full days of free calls/wk),,x (reduced price and free emails),x,x,x,x,x,x,x,,,,
Colorado,Y,https://www.colorado.gov/pacific/cdoc/covid-19-faq-and-updates,,,,,x,x (1 free 10 min call/wk),x,x (3 free photo postcards),x,x,x,x,x,x,x ,x,,,
Connecticut,Y,https://portal.ct.gov/DOC/Common-Elements/Common-Elements/Health-Information-and-Advisories,,https://portal.ct.gov/DOC/Common-Elements/Common-Elements/Health-Information-and-Advisories,,,x,x (2 free calls/wk),,,x,x,x,,x,x,,,,,All offenders who are positive for COVID-19 will be transferred to an isolation unit at the Northern Correctional Institution
Delaware,Y,https://doc.delaware.gov/views/covid19.blade.shtml,,https://doc.delaware.gov/views/covid19.blade.shtml,,,x,x (2 free 5 min calls/wk),,,x,x,x,,x,,,,,,Individuals who are high risk for complications are being provided with face masks; those with symptoms are isolated.
Florida,Y,http://www.dc.state.fl.us/comm/covid-19.html,,http://www.dc.state.fl.us/comm/covid-19.html,,,x ,x (2 free 15 min calls/wk),x (1 free video call),x (4 free JPay stamps/wk; outbound video gram cost reduced from 4 stamps to 2 stamps),x,x,x,x,x,x,,,,x,"Isolation and quarantine measures are taken in accordance with FDC’s infectious disease protocols, CDC and DOH recommendations."
Georgia,N,"Response Page:
http://www.dcor.state.ga.us/content/res
Relevant Press Releases:
http://www.dcor.state.ga.us/NewsRoom/PressReleases/georgia-department-corrections-coronavirus-covid-19-response
http://www.dcor.state.ga.us/NewsRoom/PressReleases/georgia-department-corrections-coronavirus-covid-19
http://www.dcor.state.ga.us/NewsRoom/PressReleases/georgia-department-corrections-coronavirus-covid-19-update
http://www.dcor.state.ga.us/NewsRoom/PressReleases/georgia-department-corrections-covid-19-response
http://www.dcor.state.ga.us/NewsRoom/PressReleases/georgia-department-corrections-covid-19
http://www.dcor.state.ga.us/NewsRoom/PressReleases/georgia-department-corrections-coronavirus-covid-19-update-0
http://www.dcor.state.ga.us/NewsRoom/PressReleases/georgia-department-corrections-covid-19-update",http://www.dcor.state.ga.us/NewsRoom/PressReleases/PressReleases,http://www.dcor.state.ga.us/content/cases,"There is a page outlining their plan to stop the spread. However, their updates are on a separate site.",x,,x (1 free 15 min call/wk),,x (2 free JPay stamps/wk),x,x,x,x,x,x,,,,,Individuals who test positive will be placed in the designated medical housing unit and will remain quarantined for 14 days.
Hawaii,Y,https://dps.hawaii.gov/blog/2020/03/17/coronavirus-covid-19-information-and-resources/,,https://dps.hawaii.gov/blog/2020/03/17/coronavirus-covid-19-information-and-resources/,,,x,"x (unlimited 15 min prepaid calls, 2 free 5 min calls/wk) ",,,,x (in locations with sustained COVID-19 community transmission),x,,,,x,,,,"If someone is suspected to have COVID-19, place them in a separate room, preferably with a toilet and sink. If medical isolation is not feasible, attempt to place beds 6 feet apart and provide sick individuals with masks."
Idaho,Y,https://www.idoc.idaho.gov/content/careers/covid-19,,https://www.idoc.idaho.gov/content/careers/covid-19,,x,,x (2 free 15 min calls/week),,,x,x,,,,x,,,,,"If someone has flu-like symptoms, they will be isolated for testing and the unit where the patient was housed or worked prior to isolation will be quarantined until either a negative test is confirmed or for 14 days if the test is positive. If those who are quarantined become sick, the 14 days starts over."
Illinois,Y,https://www2.illinois.gov/idoc/facilities/Pages/Covid19Response.aspx,,https://www2.illinois.gov/idoc/facilities/Pages/Covid19Response.aspx,,,x,x (DOC giving $ for two 20min calls),"x (DOC giving $ for 1, 15min vid; GTL giving 1 free 15 min call/wk)",,x,x,,x,,,,,x,x,
Indiana,Y,https://www.in.gov/idoc/3755.htm,,,,x,,x (2 free 5 min calls/wk),,,x,,x,,,x,,,,,Separation of ill offenders; Implementing social distancing when a few offenders are ill; Isolation housing units when a substantial number of offenders are ill
Iowa,Y,https://doc.iowa.gov/COVID19,,https://doc.iowa.gov/COVID19,,x,,x (1 free 5 min call/wk),x (pilot of video visits),x (4 free e-mails/wk),x,x,x,,x,x,x,,,,"https://doc.iowa.gov/sites/default/files/io-se-26_epidemic_and_pandemic_action_plan.pdf
page 8-11 outlines three phase plan"
Kansas,Y,https://www.doc.ks.gov/kdoc-coronavirus-updates,,https://www.doc.ks.gov/kdoc-coronavirus-updates/kdoc-covid-19-status,,x,,x (2 free 15 min calls/week),x (3 free 30 min calls/wk),,x,x,x,,x,x,,,,,"""Those that test positive will be isolated from those that are healthy."""
Kentucky,N,https://governor.ky.gov/covid19,,,The DOC does not disseminate information about COVID-19 protocols. All information comes from the Governor's office. ,x (website does not specify whether legal visitations are still allowed),,,,,,,,,,,,,,,Commuting sentences for medically vulnerable people
Louisiana,Y,https://doc.louisiana.gov/covid-19-information/,,https://doc.louisiana.gov/doc-covid-19-testing/,,x,,x (2 free 15 min calls/wk),"x (starting 4/27, video visitation costs will be reduced to $2.50 per 10 min call)",x (2 free email stamps/wk),x,x,x,x,x,,,,,,"Each state prison has identified areas to quarantine DOC's incarcerated population; ""reverse isolation"" for elderly and high-risk populations meaning they have designated separate hosing and feeding locations"
Maine,N,"Relevant Press Releases:
https://www.maine.gov/corrections/home/MDOC%20COVID19%20Web%20Dashboard%20(4.6.2020).pdf
https://www.maine.gov/corrections/home/Press%20Release.%20DOC%20response%20to%20GOV%20EO%20(003).pdf
https://www.maine.gov/corrections/home/Response%20from.%20Randall%20Liberty.pdf
https://www.maine.gov/corrections/home/Press%20Release.%20DOC.%20COVID.19%20(002).pdf
https://www.maine.gov/corrections/home/MDOC%20COVID19%20Web%20Dashboard%20(4.1.2020).pdf
https://www.maine.gov/corrections/home/3.31.20%20Statement%20from%20Commissioner%20Liberty.pdf
https://www.maine.gov/corrections/home/3.27.20%20Statement%20from%20Commisioner%20Liberty.pdf",https://www.maine.gov/corrections/,New updates provided in the Daily COVID-19 Dashboard,"On the MDOC homepage, they are releasing a daily update (Daily  COVID-19 Dashboard)",,x,x (20 free min for phone calls),x (1 free 20 min call/mo),x (2 free postage stamps; 20 free text messages),,,x,,,,x,,,,
Maryland,N,"Relevant Press Releases:
https://coronavirus.maryland.gov/#FAQ
https://news.maryland.gov/dpscs/wp-content/uploads/sites/4/2020/03/VISITS-CANCELLED-31220.pdf",https://news.maryland.gov/dpscs/,,The DPSCC has not disseminated much information about department specific COVID-19 protocols.,x,,x ,x,,,,,,,,,,,,
Massachusetts,N,"Relevant Press Releases:
https://www.mass.gov/doc/covid-19-qa/download
https://www.mass.gov/doc/temporary-suspension-of-visits-at-doc-facilities/download",https://www.mass.gov/orgs/massachusetts-department-of-correction,,,,x,,,,x,,,,,x,,,,,
Michigan,Y,https://medium.com/@MichiganDOC/mdoc-takes-steps-to-prevent-spread-of-coronavirus-covid-19-250f43144337,,https://medium.com/@MichiganDOC/mdoc-takes-steps-to-prevent-spread-of-coronavirus-covid-19-250f43144337,,,x,x (2 free 5 min calls/wk),,x (2 free stamps/wk),x,x,,x,,x,,,,,"""Michigan State Industries has been producing masks for prisoners and correctional facility staff to wear. Facilities that had positive cases received masks first, and as production has increased, masks and protective gowns are being sent to all facilities for staff and prisoners. In the meantime, facility staff are permitted to bring their own PPE, such as masks, gloves and gowns."""
Minnesota,Y,https://mn.gov/doc/about/covid-19-updates/,,https://mn.gov/doc/about/covid-19-updates/,,x,,x (2 free 5 min calls/wk),"x (1 free 15 min call/wk, can purchase extra vid calls at discounted rate of $3.50)",,x,x,x,,,x,,,,,"""Areas of isolation and quarantine are identified in each of our facilities should they be needed. "" identifying medically high-risk inmates and reorganizing living situations to better protect health; exploring possibilities to reorganize some living situations to spread people out and minimize risk, especially for those who are medically more at risk."
Mississippi,N,"Relevant Press Releases:
https://www.mdoc.ms.gov/News/PressReleases/MDOC%20Adjusts%20COVID-19%20Prevention%20Response%20for%20Community%20Supervision.pdf
https://www.mdoc.ms.gov/Documents/COVID-19%20Questions%20and%20Answers.pdf
https://www.mdoc.ms.gov/News/PressReleases/State%20Phone%20Provider%20Offering%20Free%20Calls%20to%20Inmates.pdf
https://www.mdoc.ms.gov/News/PressReleases/Inmate%20Transfers%20Suspended%20in%20Response%20to%20Coronavirus.pdf
https://www.mdoc.ms.gov/News/PressReleases/MDOC%20Takes%20Preventative%20Steps%20Against%20Coronavirus%20Exposure.pdf",https://www.mdoc.ms.gov/News/Pages/Press-Releases.aspx,,,,x,x (2 free 5 min calls/wk),,,x,x,,x,,x,,,,,"Immediate quarantine and treatment at facility infirmaries, designated areaas, or outside hosiptals as necessary. "
Missouri,Y,https://doc.mo.gov/media-center/newsroom/covid-19,,,,,x,x (2 free 10 min calls/wk),,"x (1 free email thru JPay/wk, in addition to the 4 free monthly emails already provided)",x,x,x,x,,,,,,,"""Isolation cells, wings and units identified for use, if needed, at every prison"""
Montana,Y,https://cor.mt.gov/COVID-19,,https://cor.mt.gov/COVID-19,,,x,x (1 free call/wk),x (1 free call/wk),,x,x,x,x,x (only for individuals coming from out of state),,x,,,,"""Each site has pandemic plans to address COVID-19, including the protocols and isolation procedures if someone is exposed and/or becomes infected""
only critical movement is allowed outside of cells (meals, showers) in facilities with confirmed cases"
Nebraska,Y,https://corrections.nebraska.gov/ndcs-coronavirus-health-update,,,,,x,x (2 free 5 min calls/wk),,,x,x,,,,,,,,,
Nevada,Y,http://doc.nv.gov/About/Press_Release/covid19_updates/,,,,x,,x (2 free calls/wk),,x (discounted rate for sending secure instant messages),x,x,,,,,,,,,"""If an offender is suspected of having an illness, or if they self-report feeling ill, NDOC medical staff immediately assess the offender and place them in that facility’s infirmary or medically observes them in their cell. Medical staff utilize the appropriate test kits, some of which are provided by the State of Nevada, which are then tested by the State Epidemiologist, to determine a diagnosis and treatment. NDOC also alerts Culinary so meals are delivered to the offender while they’re in the infirmary or their cell."""
New Hampshire,Y,https://www.nh.gov/nhdoc/covid/index.html,,,,x,,x (2 free 5 min calls/wk; free calls to attorneys),,,,x,x,,,x,,,,,
