State,County,Facility,Authorizing Agent,"Known Capacity 
(if available)",Population Prior to Releases,"Overall Pop. Reduction / 
Total Number of Releases",Does the source report this reduction as a result of releases only or a mix of releases/policy changes?,Does the source give a more detailed breakdown on the releases?,"Breakdown of Releases:
Probation/Parole Tech Violation ","Breakdown of Releases:
Minor Offenses","Breakdown of Releases:
On Bail with Inability to Pay","Breakdown of Releases: 
Short Time Left on Sentence","Breakdown of Releases:
Vulnerable Populations","Breakdown of Releases: 
Other (please explain)",Date,Legal Filing?,Source(s),"Additional Notes (explaining ""other"" column, defining vulnerable populations in this instance, etc.)",
,,,,,147315,37135,,,,,,,,,,,,,
Alabama,All,State-wide,Governor,,,,,Yes - See columns J-O,x,x,,x,,,4/6/2020,,https://www.wsfa.com/2020/04/02/ivey-order-allows-release-some-local-inmates/,,
Alabama,Mobile,Mobile Metro Jail,Governor,,1580,480,Mix,No,--,--,--,--,--,--,4/13/2020,,https://www.al.com/news/2020/04/amid-covid-19-pandemic-mobile-metro-jail-releases-a-third-of-inmates.html,"4.2.  Keep watch.  Policies should allow for release of many over 65, with medical conditions, and non-V crimes",
Alabama,Morgan,Morgan County Jail,,,approx 640,107,Releases only,Yes - See columns J-O,,x,,,x,,4/19/2020,,https://hartselleenquirer.com/2020/04/19/morgan-jail-releases-nonviolent-inmates-to-protect-against-covid-19/,,
Arizona,Cococino,,Court,,550,50,Releases only,Yes - See columns J-O,,x,,,,,3/19/2020,,https://azdailysun.com/news/local/coconino-county-jail-releases-nonviolent-inmates-in-light-of-coronavirus/article_a6046904-18ff-532a-9dba-54a58862c50b.html,,
Arizona,Maricopa,County-wide,,,7500,2200,Mix,Yes - See columns J-O,,x,,,,,4/24/2020,,https://www.azfamily.com/news/continuing_coverage/coronavirus_coverage/maricopa-county-attorneys-office-releases-charging-data-during-covid-19/article_088d69b6-88f3-11ea-b2e7-9fb8bf2b0957.html,"56 of the 2200 were released on bond with ""low level offense"". Not clear from article what other strategies were",
Arizona,Pima County,County-wide,Court,2300,1760,27,Releases only,Yes - See columns J-O,,x,,,,,3/30/2020,Yes,https://tucson.com/news/local/pima-county-jail-releases-inmates-will-transfer-some-to-pinal-county-to-reduce-population/article_9f4fab49-ef59-58da-a8f0-538d4fb3e75a.html,,
California,State-wide,State-wide,,,,,Mix,No,,,,,,,4/29/2020,,https://www.theguardian.com/us-news/2020/apr/29/california-bail-jails-coronavirus-criminal-justice?utm_source=The+Marshall+Project+Newsletter&utm_campaign=99c8b24032-EMAIL_CAMPAIGN_2020_04_30_11_44&utm_medium=email&utm_term=0_5e02cdad9d-99c8b24032-166145513,State-wide county adult jails have decreased population from 72.4 K to 54.6 K (late Feb to mid April). 3.2 K since April 1.,
California,Alameda,Santa Rita,Court,,2500,247,Releases only,Yes - See columns J-O,,x,,x,,,3/19/2020,Yes,https://www.dailycal.org/2020/03/19/alameda-county-superior-court-releases-247-inmates-in-light-of-covid-19/,"Jt. request of Sheriff, DA, defense.  Appears to include sentenced people (some or all), but not very specific.",
California,Los Angeles,County-wide,,,17076,5193,Mix,No,,,,,,,4/27/2020,,https://www.vera.org/blog/covid-19-1/use-this-data-to-hold-your-local-jail-accountable-during-the-pandemic,Vera (using data reported by local jurisdiction) shows decrease from 17076 to 11883 (-5193) between 2/29/20 and 4/24/20,
California,Los Angeles,County-wide,Governor,,15000,,Releases only,No,--,--,--,--,--,--,3/24/2020,No,https://ktla.com/news/local-news/1700-jail-inmates-in-l-a-county-released-over-coronavirus-concerns-sheriff-says/,"At least 1700 inmates released from custody in LA county, Sheriff reported approximately 15,000 inmates in county (unclear if this was number before or after releases)",
California,Alameda,,,,2500,500,Mix,No,--,--,--,--,--,--,3/29/2020,,https://www.berkeleyside.com/2020/04/01/in-covid-19-move-alameda-county-cut-its-jail-population-a-new-state-policy-could-undermine-that,,
California,San Francisco,County-wide,Joint Initiative,,1100,260,Mix,No,--,--,--,--,--,--,3/30/2020,No,https://www.correctionsone.com/coronavirus-covid-19/articles/sfs-jail-population-drops-25-after-inmates-are-released-to-thwart-covid-19-jrbfS1f1FFtKAAhp/,"San Francisco reduced its jail population by nearly 25% since March 4th -- combination of releasing inmates and detaining only those who present a ""serious risk of physical violence""",
California,San Diego,County-wide,,,,300,Releases only,,,,x,,,,4/15/2020,,https://www.sandiegouniontribune.com/news/courts/story/2020-04-15/court-and-jail-releases-draft,San Diego released 300 people as now allowed by Chief Judge ruling moving bail to zero for many crimes,
