1970 resident population,1983 jail population,1983 resident population,Pre-COVID Jail Population,County,Change,Percentage Change,Display:,County,Jail Incarceration Rate Per 100K,International Benchmark,Rate Reduction to Match Internatonal Norms,Add'l Jail Reduction to Match  Pre-COVID Intn'l Avg,Jail rate is X time norm,Target Jail Population,Add'l Jail Reduction to Match 1983 Jail Population,Date of baseline count,Date of covid data,Date of latest count,Jail Population (Latest),Number of Records,Reporting jurisdictions,Resident population,Cases Per 100K Residents,COVID-19 Cases,County,Deaths Per 100K Residents,COVID-19 Deaths,Fips,state abbreviation,State
5082290,9220,4834464,5447,"New York City, New York",-1519,-0.278869102,Only places with jail data,"New York City, NY",47.1163035,35,-12.1163035,-1010.11405,1.3461801,2917.88595,,02/29/2020,04/23/2020,04/23/2020,3928,1,New York City Department Of Correction,8336817,1750,145855,New York City,131,10889,36061,NY,New York
739297,1133,921532,733,"Nassau, New York",-101,-0.137789905,Only places with jail data,"Nassau, NY",46.57593204,35,-11.57593204,-157.0766,1.330740915,474.9234,,02/29/2020,04/23/2020,04/10/2020,632,1,Nassau County Sheriff'S Department,1356924,2367,32124,Nassau,134,1813,36059,NY,New York
1650780,1734.33,1439835,1410,"Wayne, Michigan",-532,-0.377304965,Only places with jail data,"Wayne, MI",50.19027143,35,-15.19027143,-265.72995,1.434007755,612.27005,,02/29/2020,04/23/2020,04/24/2020,878,1,Wayne County Sheriffs Office,1749343,857,14994,Wayne,80,1396,26163,MI,Michigan
363909,2945,365913,5555,"Cook, Illinois",-1377,-0.247884788,Only places with jail data,"Cook, IL",81.12254339,35,-46.12254339,-2375.41845,2.317786954,1802.58155,-1233,02/29/2020,04/23/2020,04/23/2020,4178,1,Cook County Department Of Corrections,5150233,501,25811,Cook,22,1142,17031,IL,Illinois
566508,696,680163,695,"Suffolk, New York",-135,-0.194244604,Only places with jail data,"Suffolk, NY",37.92493707,35,-2.924937068,-43.18965,1.083569631,516.81035,,02/29/2020,04/23/2020,04/10/2020,560,1,Suffolk County Sheriffs Office,1476601,2002,29567,Suffolk,67,994,36103,NY,New York
3442649,6343,3473862,643,"Westchester, New York",-277,-0.430793157,Only places with jail data,"Westchester, NY",37.82922277,35,-2.829222765,-27.3729,1.080834936,338.6271,,02/29/2020,04/23/2020,04/23/2020,366,1,Westchester County Department Of Correction,967506,2683,25959,Westchester,99,962,36119,NY,New York
918796,1084,921372,,"Essex, New Jersey",,,Only places with jail data,"Essex, NJ",137.5512375,35,-102.5512375,-819.35875,3.930035358,279.64125,-15,,04/23/2020,04/23/2020,1099,1,Essex County Correctional Facility,798975,1478,11811,Essex,117,932,34013,NJ,New Jersey
579858,356,587786,615,"Bergen, New Jersey",-212,-0.344715447,Only places with jail data,"Bergen, NJ",43.23097354,35,-8.230973544,-76.7293,1.235170673,326.2707,-47,02/29/2020,04/23/2020,04/23/2020,403,1,Bergen County Sheriff'S Office,932202,1507,14049,Bergen,97,907,34003,NJ,New Jersey
664145,717,877162,17076,"Los Angeles, California",-5086,-0.297844929,Only places with jail data,"Los Angeles, CA",119.4329336,35,-84.43293363,-8476.31255,3.412369532,3513.68745,-11273,02/29/2020,04/23/2020,04/24/2020,11990,1,Los Angeles County Sheriff'S Department,10039107,174,17508,Los Angeles,8,797,6037,CA,California
584076,1236,554261,,"Fairfield, Connecticut",,,Places without jail data,"Fairfield, CT",,35,,,,,,,04/23/2020,,,1,,943332,1061,10008,Fairfield,65,615,9001,CT,Connecticut
4516068,12513.28,5405267,,"Hudson, New Jersey",,,Places without jail data,"Hudson, NJ",,35,,,,,,,04/23/2020,,,1,,672391,1881,12645,Hudson,90,606,34017,NJ,New Jersey
210213,541,321090,1282,"Oakland, Michigan",-508,-0.39625585,Only places with jail data,"Oakland, MI",61.54658456,35,-26.54658456,-333.8456,1.758473845,440.1544,-233,02/29/2020,04/23/2020,04/24/2020,774,1,Oakland County Sheriffs Office,1257584,528,6634,Oakland,45,567,26125,MI,Michigan
380912,381,466341,,"Middlesex, Massachusetts",,,Places without jail data,"Middlesex, MA",,35,,,,,,,04/23/2020,,,1,,1611699,665,10724,Middlesex,34,545,25017,MA,Massachusetts
161254,144.05,240950,,"Union, New Jersey",,,Places without jail data,"Union, NJ",,35,,,,,,,04/23/2020,,,1,,556341,1966,10935,Union,93,515,34039,NJ,New Jersey
497126,,561575,,"Macomb, Michigan",,,Places without jail data,"Macomb, MI",,35,,,,,,,04/23/2020,,,1,,873972,556,4862,Macomb,56,493,26099,MI,Michigan
